2025-08-22;21:43:05.606;[113] PING;21:43:05.824;[259/113] PONG (2)
2025-08-22;21:43:07.896;[114] PING;21:43:08.766;[261/114] PONG (2)
2025-08-22;;;21:43:09.036;[263] keepalive
2025-08-22;21:43:10.380;[115] PING;(таймаут);(таймаут)
2025-08-22;;;21:43:14.049;[266] keepalive
2025-08-22;21:43:14.794;[116] PING;21:43:15.088;[267/116] PONG (2)
2025-08-22;21:43:16.875;[117] PING;21:43:17.545;[269/117] PONG (2)
2025-08-22;;;21:43:19.048;[271] keepalive
2025-08-22;21:43:19.735;[118] PING;21:43:20.712;[273/118] PONG (2)
2025-08-22;21:43:22.048;[119] PING;21:43:22.249;[275/119] PONG (2)
2025-08-22;;;21:43:24.047;[276] keepalive
2025-08-22;21:43:24.484;[120] PING;21:43:24.905;[278/120] PONG (2)
2025-08-22;21:43:27.888;[121] PING;21:43:28.151;[280/121] PONG (2)
2025-08-22;;;21:43:29.054;[281] keepalive
2025-08-22;21:43:29.333;[122] PING;21:43:29.891;[282/122] PONG (2)
2025-08-22;21:43:32.063;[123] PING;21:43:33.057;[284/123] PONG (2)
